runner,area,line,yards
"denard robinson","middle","center",0
"toby gerhart","right","tackle",0
"donald brown","right","tackle","2"
"donald brown","middle","center","1"
"branden oliver","middle","center",0
"branden oliver","left","tackle","7"
"branden oliver","right","tackle","4"
"branden oliver","left","tackle",0
"branden oliver","right","tackle","2"
"branden oliver","left","tackle","6"
"denard robinson","left","tackle","2"
"matt forte","left","guard","3"
"matt forte","right","guard","8"
"matt forte","left","tackle","5"
"ka'deem carey","left","guard","3"
"matt forte","right","guard","4"
"ka'deem carey","left","tackle","4"
"matt forte","left","guard","6"
"matt forte","right","guard","-3"
"eddie lacy","right","guard","2"
"matt forte","right","tackle","17"
"matt forte","left","guard","7"
"ka'deem carey","right","guard","12"
"matt forte","left","tackle","9"
"matt forte","right","tackle",0
"matt forte","left","tackle",0
"matt forte","left","guard",0
"eddie lacy","left","tackle","2"
"eddie lacy","left","tackle","5"
"matt forte","right","guard","2"
"ka'deem carey","right","tackle","4"
"matt forte","right","tackle",0
"matt forte","left","tackle","4"
"eddie lacy","left","guard","9"
"eddie lacy","left","tackle","3"
"matt forte","right","guard","13"
"matt forte","right","guard","5"
"eddie lacy","left","guard","3"
"aaron rodgers","left","tackle","8"
"eddie lacy","right","tackle","3"
"ka'deem carey","left","guard","6"
"matt forte","left","guard","19"
"matt forte","right","tackle","9"
"jay cutler","right","guard","2"
"eddie lacy","left","tackle","6"
"eddie lacy","left","tackle","2"
"eddie lacy","left","guard","1"
"alshon jeffery","left","tackle","12"
"matt forte","right","guard","2"
"matt forte","right","guard","3"
"eddie lacy","right","guard","3"
"matt forte","left","tackle","5"
"matt forte","left","guard","4"
"eddie lacy","left","tackle","1"
"eddie lacy","right","tackle","10"
"eddie lacy","left","tackle",0
"eddie lacy","right","guard","1"
"eddie lacy","left","tackle","-3"
"ka'deem carey","right","tackle","13"
"ka'deem carey","right","tackle","5"
"ka'deem carey","right","tackle","2"
"ka'deem carey","left","guard","8"
"ka'deem carey","right","guard","1"
"ka'deem carey","right","tackle","2"
"ka'deem carey","left","guard","4"
"ka'deem carey","left","tackle","6"
"ka'deem carey","left","tackle","2"
"nick foles","middle","center","1"
"frank gore","left","tackle","15"
"frank gore","left","tackle","6"
"colin kaepernick","left","tackle","9"
"frank gore","right","guard","7"
"carlos hyde","middle","center","4"
"frank gore","left","guard","2"
"colin kaepernick","middle","center","9"
"lesean mccoy","right","tackle",0
"lesean mccoy","right","tackle","1"
"darren sproles","middle","center","4"
"frank gore","middle","center","4"
"lesean mccoy","middle","center","1"
"frank gore","right","guard","7"
"frank gore","right","tackle","12"
"carlos hyde","left","tackle","1"
"frank gore","right","tackle","2"
"carlos hyde","left","guard","6"
"lesean mccoy","right","tackle",0
"frank gore","left","tackle","5"
"frank gore","right","guard","-1"
"bruce ellington","left","tackle","15"
"frank gore","left","tackle","2"
"lesean mccoy","middle","center","4"
"frank gore","left","guard","6"
"frank gore","left","guard","3"
"colin kaepernick","middle","center","3"
"frank gore","middle","center","-1"
"lesean mccoy","left","tackle",0
"lesean mccoy","left","tackle","5"
"frank gore","left","tackle","28"
"carlos hyde","right","tackle","-2"
"frank gore","right","tackle","3"
"frank gore","middle","center","1"
"carlos hyde","left","tackle","5"
"frank gore","right","guard","5"
"carlos hyde","middle","center","3"
"lesean mccoy","left","tackle","-4"
"frank gore","left","tackle","1"
"frank gore","left","guard","2"
"carlos hyde","right","guard","-3"
"colin kaepernick","left","tackle","16"
"carlos hyde","middle","center","5"
"frank gore","right","guard","2"
"carlos hyde","right","tackle","3"
"lesean mccoy","left","tackle","5"
"lesean mccoy","left","tackle","5"
"frank gore","right","guard","3"
"frank gore","middle","center","3"
"frank gore","middle","center","2"
"steven jackson","left","tackle","1"
"matt ryan","middle","center","1"
"matt asiata","middle","center","3"
"teddy bridgewater","left","tackle","3"
"matt asiata","middle","center","3"
"matt asiata","middle","center","3"
"steven jackson","left","guard","9"
"steven jackson","left","tackle","7"
"steven jackson","right","tackle",0
"jacquizz rodgers","left","tackle","2"
"antone smith","right","guard","2"
"antone smith","left","tackle","3"
"matt asiata","left","guard","5"
"matt asiata","middle","center","5"
"matt asiata","middle","center","6"
"steven jackson","middle","center","6"
"steven jackson","left","guard","3"
"steven jackson","right","tackle","2"
"antone smith","left","guard","9"
"devonta freeman","right","tackle","3"
"jerick mckinnon","middle","center","55"
"jerick mckinnon","left","guard","6"
"steven jackson","right","tackle","6"
"steven jackson","middle","center","2"
"matt asiata","middle","center","7"
"matt asiata","right","tackle","1"
"matt asiata","middle","center","12"
"matt asiata","right","guard","5"
"matt asiata","right","guard","2"
"teddy bridgewater","left","tackle","13"
"jerick mckinnon","right","tackle","3"
"jerick mckinnon","left","guard","6"
"jerick mckinnon","right","tackle","10"
"jerick mckinnon","middle","center","6"
"matt asiata","middle","center","1"
"teddy bridgewater","left","tackle","10"
"matt asiata","left","tackle","4"
"matt asiata","middle","center","5"
"teddy bridgewater","middle","center",0
"steven jackson","middle","center","4"
"steven jackson","left","guard","11"
"jerick mckinnon","right","guard","3"
"jerick mckinnon","middle","center","5"
"matt asiata","middle","center","1"
"steven jackson","right","tackle",0
"antone smith","right","tackle","48"
"matt asiata","middle","center","4"
"devonta freeman","left","tackle","5"
"matt asiata","left","tackle","4"
"matt asiata","left","guard","3"
"matt asiata","middle","center","3"
"teddy bridgewater","right","tackle","1"
"matt asiata","middle","center","1"
"steven jackson","left","tackle","-2"
"jerick mckinnon","right","tackle","14"
"jerick mckinnon","middle","center","1"
"jerick mckinnon","middle","center","3"
"jerick mckinnon","middle","center","5"
"jerick mckinnon","middle","center","1"
"jerick mckinnon","right","tackle","2"
"jerick mckinnon","middle","center","9"
"jerick mckinnon","middle","center","3"
"jerick mckinnon","right","tackle","-1"
"christian ponder","right","tackle","1"
"chris ivory","left","tackle","5"
"chris ivory","right","guard","4"
"chris ivory","left","tackle","5"
"chris johnson","left","tackle","1"
"chris ivory","middle","center","5"
"chris ivory","middle","center","9"
"chris ivory","left","tackle","8"
"chris ivory","middle","center","11"
"chris ivory","middle","center","4"
"chris ivory","left","tackle",0
"reggie bush","left","guard","2"
"joique bell","right","tackle",0
"geno smith","left","tackle","1"
"reggie bush","left","tackle","3"
"matthew stafford","middle","center","3"
"chris johnson","left","tackle","3"
"geno smith","right","tackle","1"
"chris ivory","right","tackle","-4"
"chris ivory","right","tackle","6"
"joique bell","left","tackle","17"
"chris ivory","left","guard","7"
"theo riddick","left","guard","2"
"chris ivory","right","tackle","2"
"chris ivory","right","tackle","17"
"joique bell","middle","center","5"
"joique bell","left","tackle",0
"chris johnson","left","guard","1"
"chris johnson","middle","center","-1"
"chris ivory","middle","center","3"
"reggie bush","left","tackle","1"
"joique bell","middle","center","1"
"joique bell","left","tackle","-1"
"joique bell","middle","center","9"
"joique bell","left","tackle","1"
"matthew stafford","right","tackle","1"
"chris ivory","right","guard","3"
"reggie bush","left","tackle","2"
"reggie bush","left","tackle","-2"
"reggie bush","left","tackle","4"
"geno smith","middle","center","2"
"chris johnson","middle","center","5"
"chris johnson","middle","center","35"
"reggie bush","left","tackle","6"
"reggie bush","left","tackle","3"
"reggie bush","middle","center",0
"chris ivory","middle","center","-1"
"reggie bush","left","tackle","5"
"reggie bush","right","tackle","16"
"reggie bush","right","guard","6"
"matthew stafford","right","tackle","7"
"arian foster","left","tackle","-6"
"c.j. spiller","left","guard","2"
"c.j. spiller","right","guard","5"
"c.j. spiller","left","tackle","-3"
"c.j. spiller","left","tackle","4"
"arian foster","left","tackle",0
"arian foster","left","guard","-1"
"fred jackson","left","tackle","9"
"fred jackson","right","tackle",0
"c.j. spiller","right","tackle","22"
"c.j. spiller","right","tackle","1"
"fred jackson","middle","center",0
"alfred blue","middle","center",0
"c.j. spiller","left","guard","7"
"fred jackson","middle","center","1"
"fred jackson","middle","center","14"
"c.j. spiller","left","tackle","9"
"c.j. spiller","middle","center","1"
"arian foster","left","guard","4"
"arian foster","middle","center","3"
"arian foster","left","tackle","1"
"ryan fitzpatrick","left","tackle","11"
"c.j. spiller","right","tackle","3"
"c.j. spiller","middle","center","4"
"fred jackson","middle","center","7"
"arian foster","right","guard","3"
"arian foster","middle","center","2"
"c.j. spiller","left","tackle","8"
"c.j. spiller","middle","center","3"
"c.j. spiller","middle","center","-4"
"alfred blue","right","tackle","4"
"alfred blue","left","tackle","-1"
"c.j. spiller","middle","center","-2"
"alfred blue","left","guard","-2"
"fred jackson","middle","center","2"
"alfred blue","left","guard","4"
"alfred blue","right","tackle","6"
"ryan fitzpatrick","middle","center","5"
"damaris johnson","right","tackle","8"
"alfred blue","right","tackle",0
"alfred blue","left","guard","-4"
"alfred blue","right","tackle","2"
"ej manuel","right","tackle","3"
"demarco murray","middle","center","1"
"demarco murray","left","tackle","1"
"demarco murray","left","tackle","2"
"demarco murray","right","tackle","11"
"demarco murray","left","tackle","-1"
"khiry robinson","left","tackle","4"
"drew brees","middle","center","6"
"khiry robinson","left","guard","5"
"travaris cadet","left","tackle","1"
"demarco murray","left","tackle","5"
"demarco murray","left","tackle","5"
"demarco murray","right","guard","17"
"joseph randle","left","tackle","1"
"khiry robinson","right","tackle","3"
"austin johnson","middle","center","2"
"khiry robinson","left","tackle","1"
"demarco murray","middle","center","2"
"demarco murray","left","tackle","1"
"demarco murray","middle","center","4"
"demarco murray","right","tackle","15"
"khiry robinson","left","tackle",0
"demarco murray","middle","center","22"
"demarco murray","right","guard","2"
"pierre thomas","right","tackle","8"
"khiry robinson","right","tackle","1"
"pierre thomas","left","tackle",0
"demarco murray","left","tackle","8"
"demarco murray","right","tackle","3"
"dwayne harris","left","tackle","-1"
"tony romo","middle","center","21"
"demarco murray","left","tackle","28"
"khiry robinson","left","tackle","11"
"joseph randle","right","tackle","4"
"joseph randle","right","tackle","14"
"joseph randle","left","tackle","3"
"khiry robinson","right","tackle","62"
"demarco murray","left","tackle","9"
"tony romo","middle","center","2"
"demarco murray","left","tackle","5"
"demarco murray","middle","center","-1"
"demarco murray","right","tackle","3"
"demarco murray","left","tackle","-2"
"demarco murray","right","guard","-1"
"demarco murray","left","tackle","10"
"trent richardson","right","guard","3"
"trent richardson","left","tackle","3"
"trent richardson","left","guard","-1"
"shonn greene","middle","center","3"
"dexter mccluster","right","guard",0
"trent richardson","right","tackle","1"
"t.y. hilton","left","tackle","5"
"ahmad bradshaw","right","tackle","4"
"ahmad bradshaw","right","guard","2"
"ahmad bradshaw","middle","center","2"
"ahmad bradshaw","right","guard","2"
"ahmad bradshaw","left","tackle","5"
"shonn greene","right","tackle","6"
"trent richardson","right","guard","2"
"trent richardson","middle","center","10"
